"10628","0.0"
"10629",""
"10630",""
"10631","0.0"
"10632",""
"10633",""
"10634","1.0"
"10635","1.0"
"10636","1.0"
"10637","1.0"
"10638",""
"10639",""
"10640","1.0"
"10641","1.0"
"10642","0.0"
"10643","1.0"
"10644","1.0"
"10645","1.0"
"10646",""
"10647",""
"10648","1.0"
"10649","0.0"
"10650","1.0"
"10651",""
"10652",""
"10653",""
"10654",""
"10655","1.0"
"10656",""
"10657","0.0"
"10658","1.0"
"10659",""
"10660",""
"10661","1.0"
"10662",""
"10663","0.0"
"10664","1.0"
"10665",""
"10666","0.5"
"10667",""
"10668","1.0"
"10669",""
"10670","1.0"
"10671","1.0"
"10672",""
"10673","1.0"
"10674","1.0"
"10675",""
"10676","1.0"
"10677",""
"10678",""
"10679","1.0"
"10680",""
"10681",""
"10682","0.5"
"10683","1.0"
"10684","1.0"
"10685",""
"10686","1.0"
"10687",""
"10688","1.0"
"10689",""
"10690",""
"10691","1.0"
"10692",""
"10693","0.0"
"10694",""
"10695",""
"10696","1.0"
"10697",""
"10698","1.0"
"10699",""
"10700",""
"10701","1.0"
"10702",""
"10703",""
"10704",""
"10705","0.5"
"10706",""
"10707","0.0"
"10708","1.0"
"10709","1.0"
"10710","1.0"
"10711",""
"10712","1.0"
"10713",""
"10714","0.0"
"10715",""
"10716","1.0"
"10717","1.0"
"10718","1.0"
"10719",""
"10720","1.0"
"10721",""
"10722","0.0"
"10723",""
"10724","1.0"
"10725",""
"10726",""
"10727","1.0"
"10728",""
"10729","1.0"
"10730","1.0"
"10731",""
"10732","1.0"
"10733","1.0"
"10734",""
"10735",""
"10736",""
"10737","0.0"
"10738","1.0"
"10739",""
"10740",""
"10741","1.0"
"10742",""
"10743",""
"10744",""
"10745","1.0"
"10746","1.0"
"10747","1.0"
"10748",""
"10749","1.0"
"10750",""
"10751","1.0"
"10752","1.0"
"10753","1.0"
"10754","1.0"
"10755",""
"10756",""
"10757","1.0"
"10758",""
"10759",""
"10760",""
"10761",""
"10762","1.0"
"10763","1.0"
"10764","1.0"
"10765","1.0"
"10766","1.0"
"10767","1.0"
"10768",""
"10769",""
"10770",""
"10771",""
"10772",""
"10773","1.0"
"10774",""
"10775","1.0"
"10776",""
"10777","1.0"
"10778","1.0"
"10779","1.0"
"10780","0.5"
"10781",""
"10782","1.0"
"10783",""
"10784","1.0"
"10785","1.0"
"10786","1.0"
"10787","1.0"
"10788",""
"10789",""
"10790",""
"10791","1.0"
"10792","1.0"
"10793","1.0"
